เมนู,Calories,จำนวนก้าวเดิน
น้ำเปล่า,0,0
เปล่าลิตร,0,0
โค้กซีโร่,0,0
ติดฟันสูตรเด็ด,30,1000
ส้มตำปูปลาร้า,69.9,1000
โค้กลิตร,80,1000
ชเวป,120,3000
แฟนต้าน้ำแดง,120,3000
สไปร์ท,130,3000
โค้กกระป๋อง,140,3000
สแปลชน้ำส้ม,160,3000
A&W,190,3000
ข้าวสวย,195,3000
ยำน้องจุ้ง,217,5000
ข้าวเหนียว,230,5000
ยำน้องยอ ,273,5500
หมูพริกไทยดำ,275,550
ยำน้องส้ม ,299,6000
หมูทอดน้ำตาตก,335.2,6500
คอหมูทอด,405,8000
หมูสวรรค์ชั้นสาม,420,8500
ไก่ทอดเป๋าฮื้อ,428,8500
เล้ง,433.5,8500
ส้มตำสองสหาย,500,10000
ยำคอหมูทอด,521,10500
